assessment_id,person_id,workshop_id,timestamp,role,department_id,confidence_ai_tools,confidence_pedagogical_use,confidence_risk_mitigation,overall_readiness
bcb2e286-2397-4174-a13c-a5480ee6b653,P_0148,WS_001,2023-01-22T00:00:00,faculty,DEPT_005,1,1,3,1
e2788448-d7ae-4a32-8893-ecb77c1ae16a,P_0122,WS_001,2023-01-21T00:00:00,grad_student,DEPT_001,1,2,1,1
f840cc5d-2cbf-443b-a891-826f1592c78d,P_0063,WS_001,2023-01-21T00:00:00,faculty,DEPT_010,1,4,3,3
06bc9be3-de32-47b8-b6c6-ea8e126442fa,P_0199,WS_001,2023-01-22T00:00:00,faculty,DEPT_007,3,4,3,1
aa6f259e-294c-4b91-9146-5441aead9ee6,P_0105,WS_001,2023-01-21T00:00:00,faculty,DEPT_009,3,2,3,1
c49b86c3-c70e-41e5-8ab2-64bdf958b721,P_0049,WS_001,2023-01-20T00:00:00,grad_student,DEPT_005,1,3,1,2
9ff55dd4-04df-4237-8dc8-f8529508280f,P_0025,WS_001,2023-01-18T00:00:00,staff,DEPT_005,2,3,2,3
4874a17b-e971-488b-9162-dfbdab7682c9,P_0194,WS_001,2023-01-20T00:00:00,staff,DEPT_007,1,1,3,2
6e5c783d-79e5-42c9-8983-757fb25fa2f8,P_0169,WS_001,2023-01-18T00:00:00,grad_student,DEPT_007,1,1,1,2
a09be39b-e779-4d1d-a954-79af0fc545f6,P_0111,WS_001,2023-01-20T00:00:00,faculty,DEPT_007,1,3,3,1
1b66d07c-10e1-4a6b-93ca-5e3f8d812efb,P_0091,WS_001,2023-01-21T00:00:00,grad_student,DEPT_006,4,2,2,2
d1091ba5-1a5d-4a3d-97ab-5edf5ccf99df,P_0109,WS_001,2023-01-19T00:00:00,grad_student,DEPT_007,2,3,2,1
13619b85-caa1-4b67-a076-5f34a2172595,P_0106,WS_001,2023-01-19T00:00:00,staff,DEPT_006,2,2,1,2
4fa1915a-d69d-4fcf-bbc5-24cd42076798,P_0120,WS_001,2023-01-21T00:00:00,staff,DEPT_009,3,1,1,3
320b865b-087d-49a9-9bc6-9f13852cdb23,P_0014,WS_001,2023-01-18T00:00:00,staff,DEPT_007,3,4,1,4
d42af327-4dd4-4b78-b5f3-fc00954604c7,P_0173,WS_001,2023-01-20T00:00:00,grad_student,DEPT_001,2,3,4,1
33f8ab32-706d-4bf7-aab7-8898c3dfd9dc,P_0168,WS_001,2023-01-20T00:00:00,grad_student,DEPT_005,3,4,3,4
f4eaa203-53ad-4258-b2e4-9db616fd6e58,P_0166,WS_001,2023-01-20T00:00:00,grad_student,DEPT_007,2,3,4,1
566703ec-d0fe-44f1-8a4e-c2a2f2286dfb,P_0026,WS_001,2023-01-21T00:00:00,staff,DEPT_006,4,4,2,4
801a8a89-c5af-463a-8369-041b4ba619d7,P_0016,WS_001,2023-01-21T00:00:00,staff,DEPT_010,1,2,3,2
bc4e7516-f291-4733-aec7-26dcf7b8492c,P_0104,WS_001,2023-01-19T00:00:00,faculty,DEPT_010,4,4,2,4
cbf20c89-58ad-4536-a203-0fc0a0eb8d22,P_0087,WS_001,2023-01-22T00:00:00,faculty,DEPT_001,4,2,2,4
c2283e8a-3bb5-4b1e-83d3-3ed654c5f35f,P_0028,WS_001,2023-01-21T00:00:00,grad_student,DEPT_008,3,4,4,4
700d7370-c1f7-4884-aa84-2502e02415f1,P_0064,WS_001,2023-01-22T00:00:00,grad_student,DEPT_005,4,2,3,4
76646a34-99bd-40fa-8d92-0390ba706279,P_0050,WS_001,2023-01-19T00:00:00,grad_student,DEPT_006,1,2,2,2
1626799d-5731-430e-bb05-255197a3b2ba,P_0195,WS_001,2023-01-21T00:00:00,staff,DEPT_007,3,4,4,1
a9b63d00-c934-4598-a9dc-a67cb28345f9,P_0138,WS_001,2023-01-19T00:00:00,staff,DEPT_010,4,1,3,3
67f4f433-561b-48c0-b910-e900eab4583f,P_0115,WS_001,2023-01-19T00:00:00,faculty,DEPT_010,4,2,3,4
1bb35fa1-e3ad-4bca-ae23-189bc2ca7d2c,P_0036,WS_001,2023-01-19T00:00:00,grad_student,DEPT_007,2,4,2,1
6ccfbf53-a442-43d6-b39a-dcdb6f44fae5,P_0189,WS_001,2023-01-19T00:00:00,faculty,DEPT_007,4,2,1,3
e86d07bc-98ff-4209-8ba5-de0de79ab75b,P_0047,WS_001,2023-01-22T00:00:00,staff,DEPT_007,4,3,1,4
f5b008ff-6c0a-45fe-b42a-08865d3b8dfe,P_0072,WS_001,2023-01-22T00:00:00,grad_student,DEPT_002,1,1,2,2
52366963-d251-4700-a193-c49c10209fb1,P_0119,WS_001,2023-01-21T00:00:00,grad_student,DEPT_002,2,4,3,3
86b07aee-3fc2-46fb-95c2-fee8beac24a8,P_0177,WS_001,2023-01-19T00:00:00,staff,DEPT_003,1,1,3,4
fbe5b01c-eb78-4913-8afd-bdcff44bd238,P_0020,WS_001,2023-01-18T00:00:00,faculty,DEPT_004,3,1,1,3
64dfe3d3-930b-4781-b705-deae3a22a5ec,P_0114,WS_001,2023-01-20T00:00:00,faculty,DEPT_006,4,4,1,4
f12fabf5-b92a-4cd9-9d9f-3bc578a2cb91,P_0141,WS_001,2023-01-18T00:00:00,grad_student,DEPT_003,3,4,4,4
be0c99cd-04ce-48ed-91ed-20d9a9d78749,P_0182,WS_001,2023-01-19T00:00:00,faculty,DEPT_008,4,4,3,1
e85908eb-ce33-41c4-89e4-fb2cccb8b3b1,P_0013,WS_001,2023-01-22T00:00:00,staff,DEPT_005,3,3,1,2
d07e6b76-25a1-46b1-979b-7065ab02b1e3,P_0139,WS_001,2023-01-22T00:00:00,grad_student,DEPT_004,4,4,4,1
7fa1ed13-01fb-4f02-a2a7-8ce1cbc477ef,P_0004,WS_001,2023-01-18T00:00:00,grad_student,DEPT_005,3,4,3,4
